name,accuracy,strict_accuracy
results/Qwen-7B_one_shot_length/checkpoint-500_gsm_symbolic_p1.csv,0.7469230769230769,0.3984615384615385
results/Qwen-7B_one_shot_length/checkpoint-1000_gsm_symbolic_p1.csv,0.7823076923076923,0.4423076923076923
results/Qwen-7B_one_shot_length/checkpoint-1500_gsm_symbolic_p1.csv,0.786923076923077,0.44461538461538463
results/Base/one_shot/7_gsm_symbolic_p1.csv,0.7538461538461538,0.37615384615384617
results/Qwen-7B_one_shot_length_plus/checkpoint-500_gsm_symbolic_p1.csv,0.77,0.47923076923076924
results/Qwen-7B_one_shot_length_plus/checkpoint-1000_gsm_symbolic_p1.csv,0.7923076923076923,0.563076923076923
results/Qwen-7B_one_shot_length_plus/checkpoint-1500_gsm_symbolic_p1.csv,0.803076923076923,0.5746153846153846
results/Qwen-7B_one_shot/checkpoint-500_gsm_symbolic_p1.csv,0.5784615384615385,0.4546153846153846
results/Qwen-7B_one_shot/checkpoint-1000_gsm_symbolic_p1.csv,0.47923076923076924,0.35307692307692307
results/Qwen-7B_one_shot/checkpoint-1500_gsm_symbolic_p1.csv,0.47,0.3446153846153846
